psutil.Process(pid=0, name='kernel_task', status='running', started='2021-08-04 08:05:59')
psutil.Process(pid=1, name='launchd', status='running', started='2021-08-04 08:05:59')
psutil.Process(pid=277, name='syslogd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=278, name='UserEventAgent', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=280, name='uninstalld', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=281, name='fseventsd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=282, name='mediaremoted', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=285, name='systemstats', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=287, name='configd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=288, name='endpointsecurity', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=289, name='powerd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=292, name='remoted', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=294, name='logd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=295, name='keybagd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=298, name='softwareupdated', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=300, name='watchdogd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=304, name='mds', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=305, name='iconservicesd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=306, name='kernelmanagerd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=307, name='diskarbitrationd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=310, name='coreduetd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=313, name='thermalmonitord', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=314, name='contextstored', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=315, name='opendirectoryd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=316, name='apsd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=317, name='launchservicesd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=318, name='timed', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=320, name='securityd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=321, name='auditd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=323, name='locationd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=325, name='autofsd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=326, name='dasd', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=328, name='com.aaa.windscri', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=329, name='distnoted', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=330, name='AppleCredentialM', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=333, name='logind', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=334, name='revisiond', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=335, name='KernelEventAgent', status='running', started='2021-08-04 08:06:29')
psutil.Process(pid=337, name='bluetoothd', status='running', started='2021-08-04 08:06:29')
